Stream,Activity,Interest1,Interest2,Skill1,Skill2,Subject1,Subject2,Numerical,Logical,English,Personality,PreferredEnv,StudyStyle,Career
Science,Code,Writing,Reading,Empathy,Empathy,Mathematics,Political Science,77.96,7,7,33,Structured,Reading,Software Developer
Science,Code,Designing,Drawing,Leadership,Teamwork,Mathematics,Chemistry,60.85,6,6,30,Structured,Visual,Software Developer
Science,Code,Programming,Programming,Creativity,Empathy,Biology,Business Studies,73.39,7,10,35,Structured,Listening,Software Developer
Science,Code,Public Speaking,Designing,Python,Communication,Business Studies,Physics,77.58,6,3,34,Structured,Hands-On,Software Developer
Science,Code,Exploring,Helping,Problem Solving,Teamwork,Biology,Mathematics,75.6,10,6,36,Outdoor,Reading,Software Developer
Science,Code,Programming,Programming,Observation,Python,Physics,Psychology,74.65,4,9,38,Structured,Reading,Software Developer
Science,Code,Programming,Reading,Communication,Creativity,Psychology,Chemistry,82.91,5,9,27,Team,Listening,Software Developer
Science,Code,Reading,Public Speaking,Python,Creativity,Business Studies,Psychology,80.87,10,5,32,Outdoor,Hands-On,Software Developer
Science,Code,Public Speaking,Writing,Empathy,Leadership,Business Studies,Biology,76.0,5,3,35,Outdoor,Listening,Software Developer
Science,Code,Writing,Reading,Python,Teamwork,Psychology,Psychology,64.38,7,5,42,Solo,Visual,Software Developer
Science,Code,Public Speaking,Helping,Communication,Observation,Chemistry,Mathematics,67.17,6,8,28,Outdoor,Hands-On,Software Developer
Science,Code,Drawing,Exploring,Leadership,Python,Political Science,Computer Science,77.27,9,3,35,Solo,Reading,Software Developer
Science,Code,Helping,Reading,Creativity,Communication,Computer Science,Computer Science,77.6,8,4,28,Team,Hands-On,Software Developer
Science,Code,Public Speaking,Helping,Teamwork,Leadership,Physics,Chemistry,80.22,7,7,36,Structured,Hands-On,Software Developer
Science,Code,Programming,Programming,Observation,Communication,Computer Science,Biology,68.2,7,7,31,Structured,Listening,Software Developer
Science,Code,Programming,Reading,Creativity,Communication,Political Science,Physics,93.66,7,4,38,Outdoor,Reading,Software Developer
Science,Code,Designing,Drawing,Python,Leadership,Economics,Physics,65.25,8,9,30,Outdoor,Reading,Software Developer
Science,Code,Public Speaking,Reading,Observation,Problem Solving,Psychology,Biology,84.63,7,8,44,Team,Reading,Software Developer
Science,Code,Drawing,Designing,Python,Communication,Economics,Business Studies,72.55,5,5,30,Team,Hands-On,Software Developer
Science,Code,Drawing,Reading,Problem Solving,Python,History,Mathematics,74.23,7,7,39,Team,Listening,Software Developer
Science,Code,Writing,Helping,Empathy,Empathy,Physics,Mathematics,75.13,9,6,48,Structured,Hands-On,Software Developer
Science,Code,Helping,Reading,Leadership,Observation,Political Science,Business Studies,81.26,5,4,37,Outdoor,Visual,Software Developer
Science,Code,Reading,Helping,Communication,Leadership,Physics,Chemistry,72.77,8,7,34,Structured,Hands-On,Software Developer
Science,Code,Writing,Designing,Creativity,Problem Solving,Psychology,Mathematics,66.53,3,6,39,Outdoor,Visual,Software Developer
Science,Code,Designing,Programming,Empathy,Observation,Business Studies,Chemistry,77.14,4,7,36,Outdoor,Hands-On,Software Developer
Science,Code,Reading,Helping,Leadership,Problem Solving,Economics,Business Studies,66.16,7,7,29,Outdoor,Reading,Software Developer
Science,Code,Public Speaking,Designing,Problem Solving,Communication,Psychology,Psychology,78.58,8,9,40,Outdoor,Listening,Software Developer
Science,Code,Programming,Helping,Leadership,Empathy,Business Studies,Psychology,61.22,5,8,37,Outdoor,Listening,Software Developer
Science,Code,Exploring,Exploring,Empathy,Teamwork,Biology,Chemistry,80.15,10,8,40,Outdoor,Hands-On,Software Developer
Science,Code,Reading,Public Speaking,Leadership,Empathy,Mathematics,Biology,84.54,8,6,38,Solo,Visual,Software Developer
Science,Code,Public Speaking,Exploring,Creativity,Teamwork,Business Studies,Psychology,67.27,6,6,35,Team,Listening,Software Developer
Science,Research,Exploring,Designing,Empathy,Communication,Physics,Chemistry,98.15,3,8,26,Structured,Reading,Research Scientist
Science,Research,Drawing,Exploring,Python,Empathy,Chemistry,History,70.28,9,7,29,Team,Listening,Research Scientist
Science,Research,Writing,Exploring,Problem Solving,Teamwork,Biology,History,67.85,8,5,36,Structured,Hands-On,Research Scientist
Science,Research,Public Speaking,Helping,Teamwork,Empathy,Computer Science,History,75.46,5,10,38,Solo,Hands-On,Research Scientist
Science,Research,Public Speaking,Helping,Observation,Observation,Political Science,Chemistry,54.75,7,5,39,Team,Reading,Research Scientist
Science,Research,Public Speaking,Designing,Communication,Empathy,Chemistry,Business Studies,67.07,6,8,39,Structured,Hands-On,Research Scientist
Science,Research,Exploring,Designing,Python,Empathy,Business Studies,Business Studies,63.0,6,6,31,Solo,Listening,Research Scientist
Science,Research,Exploring,Programming,Observation,Leadership,Business Studies,Business Studies,92.65,7,4,39,Team,Listening,Research Scientist
Science,Research,Public Speaking,Helping,Problem Solving,Teamwork,Physics,Business Studies,96.22,9,3,32,Outdoor,Listening,Research Scientist
Science,Research,Drawing,Exploring,Communication,Python,Business Studies,Psychology,87.67,5,7,38,Solo,Visual,Research Scientist
Science,Research,Designing,Drawing,Teamwork,Communication,Physics,Computer Science,65.73,6,1,29,Structured,Hands-On,Research Scientist
Science,Research,Public Speaking,Exploring,Observation,Observation,Business Studies,Computer Science,72.47,4,10,27,Structured,Hands-On,Research Scientist
Science,Research,Reading,Exploring,Python,Python,Economics,Mathematics,70.6,7,9,27,Solo,Visual,Research Scientist
Science,Research,Programming,Public Speaking,Empathy,Python,Psychology,Biology,86.63,7,5,37,Team,Reading,Research Scientist
Science,Research,Exploring,Reading,Empathy,Teamwork,Computer Science,Economics,76.99,5,7,33,Team,Visual,Research Scientist
Science,Research,Drawing,Helping,Creativity,Python,Computer Science,Psychology,76.14,8,10,28,Structured,Listening,Research Scientist
Science,Research,Public Speaking,Reading,Empathy,Creativity,Computer Science,Psychology,96.33,3,6,37,Solo,Visual,Research Scientist
Science,Research,Writing,Designing,Observation,Creativity,Political Science,Economics,77.81,5,6,32,Solo,Listening,Research Scientist
Science,Research,Exploring,Reading,Problem Solving,Observation,History,Biology,69.11,8,7,31,Structured,Reading,Research Scientist
Science,Research,Helping,Exploring,Teamwork,Problem Solving,Psychology,Computer Science,84.0,7,8,38,Outdoor,Reading,Research Scientist
Science,Research,Reading,Helping,Teamwork,Empathy,History,Psychology,66.71,5,8,38,Structured,Hands-On,Research Scientist
Science,Research,Programming,Exploring,Observation,Communication,History,Mathematics,74.79,7,9,32,Outdoor,Hands-On,Research Scientist
Science,Research,Writing,Helping,Leadership,Python,Political Science,Mathematics,80.47,6,6,40,Solo,Reading,Research Scientist
Science,Research,Designing,Exploring,Empathy,Teamwork,History,History,83.25,8,9,35,Solo,Visual,Research Scientist
Science,Research,Helping,Public Speaking,Problem Solving,Empathy,Computer Science,Psychology,81.82,6,7,34,Outdoor,Listening,Research Scientist
Science,Research,Writing,Designing,Observation,Observation,History,Computer Science,75.97,8,5,45,Outdoor,Hands-On,Research Scientist
Science,Research,Public Speaking,Reading,Empathy,Observation,Chemistry,Political Science,64.94,4,9,38,Team,Reading,Research Scientist
Science,Research,Public Speaking,Exploring,Leadership,Leadership,Chemistry,Mathematics,81.24,8,6,30,Outdoor,Reading,Research Scientist
Science,Research,Writing,Drawing,Leadership,Python,Political Science,Biology,75.76,5,8,34,Outdoor,Visual,Research Scientist
Science,Research,Programming,Helping,Communication,Teamwork,Chemistry,Physics,66.75,6,7,32,Outdoor,Listening,Research Scientist
Science,Research,Exploring,Exploring,Observation,Communication,Physics,Computer Science,66.78,7,7,32,Structured,Visual,Research Scientist
Science,Research,Reading,Designing,Teamwork,Creativity,Psychology,Physics,70.29,7,4,27,Team,Reading,Research Scientist
Science,Research,Helping,Reading,Empathy,Creativity,Political Science,Business Studies,67.82,6,7,42,Team,Listening,Research Scientist
Science,Research,Exploring,Exploring,Leadership,Problem Solving,Computer Science,Psychology,83.58,6,6,29,Solo,Visual,Research Scientist
Science,Research,Public Speaking,Public Speaking,Leadership,Creativity,Biology,Mathematics,74.81,6,7,30,Team,Visual,Research Scientist
Science,Research,Drawing,Programming,Problem Solving,Teamwork,Psychology,History,80.19,10,6,37,Outdoor,Visual,Research Scientist
Science,Research,Public Speaking,Helping,Leadership,Teamwork,Chemistry,Mathematics,81.9,6,7,35,Outdoor,Reading,Research Scientist
Science,Research,Designing,Reading,Empathy,Communication,Computer Science,Biology,75.98,5,7,37,Solo,Visual,Research Scientist
Science,Research,Drawing,Helping,Leadership,Teamwork,Chemistry,History,89.51,8,10,31,Outdoor,Listening,Research Scientist
Science,Research,Helping,Exploring,Teamwork,Creativity,Psychology,Physics,83.72,7,10,30,Structured,Hands-On,Research Scientist
Science,Research,Helping,Programming,Creativity,Empathy,Psychology,Psychology,66.6,5,2,32,Solo,Hands-On,Research Scientist
Science,Research,Programming,Drawing,Teamwork,Teamwork,Computer Science,Biology,67.41,7,7,44,Structured,Listening,Research Scientist
Science,Research,Reading,Exploring,Observation,Problem Solving,Economics,Economics,84.5,5,5,37,Solo,Reading,Research Scientist
Science,Research,Writing,Designing,Teamwork,Leadership,Business Studies,Political Science,61.8,10,9,32,Solo,Listening,Research Scientist
Science,Research,Reading,Writing,Leadership,Observation,Chemistry,Business Studies,57.87,9,6,41,Solo,Listening,Research Scientist
Science,Research,Designing,Programming,Empathy,Observation,Psychology,History,59.06,5,7,35,Structured,Visual,Research Scientist
Science,Research,Public Speaking,Helping,Communication,Leadership,History,History,70.5,8,4,34,Solo,Visual,Research Scientist
Science,Research,Public Speaking,Drawing,Leadership,Python,Political Science,Business Studies,76.2,8,8,29,Solo,Reading,Research Scientist
Science,Research,Reading,Exploring,Creativity,Communication,History,Computer Science,59.66,9,7,31,Outdoor,Listening,Research Scientist
Science,Research,Exploring,Exploring,Empathy,Teamwork,Political Science,Biology,90.51,7,9,35,Structured,Reading,Research Scientist
Science,Research,Drawing,Reading,Leadership,Problem Solving,Economics,Political Science,95.61,10,6,39,Outdoor,Visual,Research Scientist
Science,Research,Helping,Helping,Teamwork,Communication,History,Political Science,81.45,9,5,38,Structured,Hands-On,Research Scientist
Science,Research,Writing,Designing,Teamwork,Observation,Mathematics,Mathematics,85.58,3,4,24,Structured,Reading,Research Scientist
Science,Research,Designing,Programming,Observation,Teamwork,Business Studies,Business Studies,72.31,8,10,35,Team,Listening,Research Scientist
Science,Research,Programming,Drawing,Observation,Creativity,History,Chemistry,91.29,4,3,34,Structured,Visual,Research Scientist
Science,Care,Drawing,Designing,Communication,Creativity,History,Computer Science,78.84,6,2,34,Outdoor,Listening,Doctor
Science,Care,Reading,Writing,Problem Solving,Observation,History,Political Science,61.96,8,7,30,Solo,Visual,Doctor
Science,Care,Public Speaking,Helping,Empathy,Creativity,Business Studies,Chemistry,69.86,4,6,39,Solo,Listening,Doctor
Science,Care,Drawing,Helping,Python,Python,Economics,Physics,65.14,8,5,31,Outdoor,Hands-On,Doctor
Science,Care,Writing,Designing,Communication,Empathy,Political Science,Business Studies,73.93,4,5,29,Team,Reading,Doctor
Science,Care,Drawing,Reading,Problem Solving,Empathy,History,Psychology,94.65,7,5,36,Team,Reading,Doctor
Science,Care,Exploring,Helping,Teamwork,Leadership,Physics,History,73.88,6,8,38,Outdoor,Reading,Doctor
Science,Care,Reading,Exploring,Observation,Leadership,Business Studies,Computer Science,69.69,5,6,23,Structured,Hands-On,Doctor
Science,Care,Public Speaking,Designing,Teamwork,Creativity,Mathematics,Business Studies,59.85,9,10,33,Outdoor,Hands-On,Doctor
Science,Care,Helping,Programming,Problem Solving,Leadership,Physics,Psychology,80.77,7,10,40,Solo,Listening,Doctor
Science,Care,Helping,Public Speaking,Observation,Empathy,Mathematics,Psychology,73.72,5,3,36,Outdoor,Reading,Doctor
Science,Care,Reading,Programming,Leadership,Teamwork,Physics,Psychology,67.44,4,5,29,Outdoor,Reading,Doctor
Science,Care,Reading,Helping,Observation,Problem Solving,Biology,Mathematics,91.87,8,6,42,Team,Hands-On,Doctor
Science,Care,Helping,Drawing,Leadership,Teamwork,Computer Science,Economics,75.77,5,10,37,Solo,Listening,Doctor
Science,Care,Reading,Drawing,Empathy,Problem Solving,Political Science,Economics,64.63,6,5,28,Solo,Listening,Doctor
Science,Care,Programming,Helping,Creativity,Teamwork,Economics,Computer Science,84.26,10,4,37,Structured,Hands-On,Doctor
Science,Care,Reading,Public Speaking,Teamwork,Python,Psychology,Political Science,68.49,6,5,30,Outdoor,Reading,Doctor
Science,Care,Reading,Exploring,Leadership,Problem Solving,Chemistry,Biology,75.49,5,7,34,Solo,Visual,Doctor
Science,Care,Helping,Exploring,Creativity,Creativity,Mathematics,Political Science,72.61,5,5,38,Team,Listening,Doctor
Science,Care,Exploring,Writing,Problem Solving,Communication,Business Studies,Chemistry,80.01,5,7,38,Structured,Listening,Doctor
Science,Care,Helping,Programming,Observation,Empathy,History,History,58.31,8,5,37,Team,Hands-On,Doctor
Science,Care,Reading,Writing,Observation,Python,Business Studies,Computer Science,67.37,3,3,35,Team,Visual,Doctor
Science,Care,Exploring,Reading,Empathy,Python,Physics,Economics,77.6,5,8,26,Team,Reading,Doctor
Science,Care,Public Speaking,Reading,Empathy,Empathy,Mathematics,Economics,74.34,4,5,35,Team,Visual,Doctor
Science,Care,Helping,Drawing,Communication,Leadership,Biology,Chemistry,66.4,6,9,32,Solo,Reading,Doctor
Science,Care,Programming,Writing,Empathy,Observation,Physics,Biology,83.36,4,8,42,Outdoor,Visual,Doctor
Science,Care,Drawing,Designing,Creativity,Creativity,History,History,50.28,5,8,33,Outdoor,Visual,Doctor
Science,Care,Exploring,Public Speaking,Python,Leadership,History,Physics,78.71,5,7,34,Solo,Listening,Doctor
Science,Care,Designing,Designing,Creativity,Teamwork,History,Chemistry,86.68,7,7,32,Solo,Hands-On,Doctor
Science,Care,Drawing,Reading,Communication,Leadership,Psychology,Psychology,70.12,6,7,32,Outdoor,Listening,Doctor
Science,Care,Helping,Exploring,Problem Solving,Creativity,Chemistry,Political Science,77.9,10,8,33,Team,Listening,Doctor
Science,Care,Exploring,Public Speaking,Problem Solving,Observation,History,Business Studies,87.01,6,2,29,Structured,Visual,Doctor
Science,Care,Writing,Designing,Observation,Leadership,Economics,Biology,56.29,6,7,43,Structured,Visual,Doctor
Science,Care,Reading,Reading,Creativity,Problem Solving,Chemistry,Economics,78.27,6,8,23,Team,Visual,Doctor
Science,Care,Writing,Reading,Problem Solving,Observation,Business Studies,Physics,77.36,8,4,40,Outdoor,Hands-On,Doctor
Science,Care,Writing,Reading,Empathy,Communication,History,Mathematics,78.38,6,8,46,Solo,Hands-On,Doctor
Science,Care,Writing,Reading,Leadership,Empathy,Business Studies,Political Science,76.82,7,6,30,Solo,Hands-On,Doctor
Science,Care,Programming,Drawing,Leadership,Leadership,Economics,Economics,83.3,5,7,32,Solo,Reading,Doctor
Science,Care,Drawing,Designing,Creativity,Communication,Physics,Chemistry,79.79,7,9,32,Team,Listening,Doctor
Science,Care,Designing,Exploring,Observation,Communication,Economics,Computer Science,72.3,5,6,36,Outdoor,Visual,Doctor
Science,Care,Programming,Drawing,Communication,Python,Chemistry,Computer Science,82.57,5,8,41,Structured,Listening,Doctor
Science,Care,Exploring,Exploring,Problem Solving,Leadership,Mathematics,Political Science,79.13,10,5,28,Solo,Hands-On,Doctor
Science,Care,Designing,Reading,Leadership,Teamwork,Political Science,Computer Science,57.21,9,8,34,Solo,Reading,Doctor
Science,Care,Designing,Programming,Python,Empathy,Computer Science,Mathematics,77.8,4,10,35,Team,Hands-On,Doctor
Science,Care,Helping,Writing,Creativity,Python,History,Business Studies,76.09,8,7,36,Team,Reading,Doctor
Science,Care,Designing,Public Speaking,Observation,Creativity,Business Studies,Physics,67.1,7,10,41,Structured,Visual,Doctor
Science,Care,Exploring,Reading,Observation,Problem Solving,Psychology,Business Studies,90.93,5,5,34,Structured,Hands-On,Doctor
Science,Care,Reading,Designing,Python,Observation,Biology,Psychology,75.56,9,3,42,Structured,Hands-On,Doctor
Science,Care,Reading,Designing,Creativity,Empathy,Business Studies,Psychology,73.42,6,4,26,Structured,Visual,Doctor
Science,Care,Designing,Helping,Observation,Empathy,Economics,Biology,83.23,7,4,28,Solo,Visual,Doctor
Science,Care,Public Speaking,Writing,Observation,Communication,Mathematics,Chemistry,71.64,10,6,27,Team,Hands-On,Doctor
Science,Care,Public Speaking,Drawing,Communication,Creativity,Biology,History,72.54,6,1,34,Structured,Listening,Doctor
Science,Care,Writing,Writing,Communication,Teamwork,Chemistry,History,72.69,8,10,40,Structured,Hands-On,Doctor
Science,Care,Helping,Programming,Observation,Creativity,Computer Science,History,72.31,4,10,35,Structured,Visual,Doctor
Science,Care,Programming,Writing,Leadership,Creativity,Chemistry,Psychology,75.14,6,7,34,Structured,Listening,Doctor
Science,Design,Programming,Exploring,Empathy,Observation,Psychology,History,69.26,5,6,32,Team,Visual,Electrical Engineer
Science,Design,Exploring,Reading,Observation,Creativity,Political Science,Biology,67.87,7,6,42,Solo,Reading,Electrical Engineer
Science,Design,Exploring,Exploring,Communication,Observation,Economics,Computer Science,48.49,9,9,24,Structured,Listening,Electrical Engineer
Science,Design,Writing,Programming,Observation,Creativity,Economics,Chemistry,71.57,6,4,31,Structured,Hands-On,Electrical Engineer
Science,Design,Helping,Drawing,Observation,Creativity,Psychology,Biology,63.89,10,8,41,Outdoor,Hands-On,Electrical Engineer
Science,Design,Designing,Drawing,Creativity,Leadership,Political Science,Business Studies,82.22,4,5,37,Outdoor,Reading,Electrical Engineer
Science,Design,Reading,Designing,Observation,Python,Economics,Computer Science,62.78,8,6,33,Team,Reading,Electrical Engineer
Science,Design,Writing,Exploring,Empathy,Empathy,Biology,Biology,82.11,7,6,40,Solo,Hands-On,Electrical Engineer
Science,Design,Reading,Programming,Observation,Communication,Psychology,Business Studies,64.19,8,8,33,Team,Reading,Electrical Engineer
Science,Design,Drawing,Drawing,Teamwork,Python,Business Studies,Economics,78.26,4,8,34,Team,Listening,Electrical Engineer
Science,Design,Helping,Exploring,Empathy,Empathy,Computer Science,History,69.77,9,5,27,Team,Hands-On,Electrical Engineer
Science,Design,Exploring,Exploring,Leadership,Problem Solving,Political Science,Political Science,59.43,8,4,43,Structured,Reading,Electrical Engineer
Science,Design,Public Speaking,Drawing,Leadership,Python,History,Economics,54.18,10,7,34,Solo,Visual,Electrical Engineer
Science,Design,Helping,Reading,Communication,Leadership,History,Political Science,69.55,7,6,40,Team,Listening,Electrical Engineer
Science,Design,Reading,Public Speaking,Teamwork,Observation,Physics,Business Studies,76.14,7,6,34,Solo,Listening,Electrical Engineer
Science,Design,Writing,Public Speaking,Problem Solving,Creativity,Economics,Mathematics,78.08,3,4,38,Solo,Hands-On,Electrical Engineer
Science,Design,Reading,Writing,Communication,Communication,Physics,Computer Science,76.71,6,7,36,Structured,Reading,Electrical Engineer
Science,Design,Exploring,Exploring,Python,Creativity,Physics,Computer Science,69.6,5,7,30,Team,Reading,Electrical Engineer
Science,Design,Designing,Reading,Leadership,Empathy,Computer Science,Chemistry,79.08,3,9,37,Solo,Reading,Electrical Engineer
Science,Design,Designing,Exploring,Creativity,Creativity,History,Psychology,77.56,8,10,40,Solo,Reading,Electrical Engineer
Science,Design,Drawing,Helping,Problem Solving,Python,Psychology,Economics,56.59,4,5,35,Team,Listening,Electrical Engineer
Science,Design,Drawing,Reading,Observation,Creativity,Political Science,Political Science,80.18,5,7,31,Solo,Listening,Electrical Engineer
Science,Design,Exploring,Programming,Problem Solving,Observation,Computer Science,Physics,68.88,4,5,28,Outdoor,Visual,Electrical Engineer
Science,Design,Writing,Public Speaking,Creativity,Observation,Biology,Physics,65.24,9,5,48,Outdoor,Hands-On,Electrical Engineer
Science,Design,Drawing,Exploring,Teamwork,Communication,Biology,Chemistry,79.93,7,5,38,Structured,Visual,Electrical Engineer
Science,Design,Helping,Public Speaking,Python,Empathy,Physics,Economics,69.24,7,10,34,Outdoor,Listening,Electrical Engineer
Science,Design,Exploring,Helping,Python,Empathy,Computer Science,Economics,86.49,5,6,43,Solo,Hands-On,Electrical Engineer
Science,Design,Helping,Reading,Observation,Problem Solving,Business Studies,History,68.73,10,8,32,Structured,Hands-On,Electrical Engineer
Science,Design,Drawing,Exploring,Teamwork,Observation,Political Science,Computer Science,81.32,8,8,27,Solo,Listening,Electrical Engineer
Science,Design,Reading,Designing,Communication,Leadership,Economics,Chemistry,67.73,6,6,38,Solo,Hands-On,Electrical Engineer
Science,Design,Helping,Helping,Teamwork,Problem Solving,Biology,History,76.78,4,7,38,Outdoor,Listening,Electrical Engineer
Science,Design,Programming,Writing,Problem Solving,Leadership,Physics,Chemistry,80.6,9,8,37,Structured,Hands-On,Electrical Engineer
Science,Design,Drawing,Programming,Communication,Teamwork,Physics,Biology,74.3,3,7,36,Solo,Reading,Electrical Engineer
Science,Design,Writing,Writing,Problem Solving,Python,Psychology,Biology,77.72,4,4,40,Structured,Hands-On,Electrical Engineer
Science,Design,Writing,Exploring,Creativity,Communication,Political Science,Economics,74.6,8,7,35,Structured,Hands-On,Electrical Engineer
Science,Design,Helping,Public Speaking,Creativity,Python,Biology,History,84.38,5,7,32,Structured,Visual,Electrical Engineer
Science,Design,Helping,Helping,Teamwork,Empathy,Psychology,Computer Science,70.66,6,7,32,Structured,Reading,Electrical Engineer
Science,Design,Reading,Drawing,Creativity,Teamwork,Biology,History,87.56,5,6,32,Solo,Hands-On,Electrical Engineer
Science,Design,Writing,Reading,Leadership,Leadership,Biology,Biology,89.47,7,9,27,Outdoor,Reading,Electrical Engineer
Science,Design,Reading,Public Speaking,Communication,Empathy,History,Physics,77.67,8,7,40,Outdoor,Hands-On,Electrical Engineer
Science,Design,Exploring,Drawing,Creativity,Creativity,Computer Science,Business Studies,69.83,9,10,33,Structured,Listening,Electrical Engineer
Science,Design,Designing,Reading,Communication,Observation,Chemistry,History,70.54,9,10,32,Structured,Hands-On,Electrical Engineer
Science,Design,Drawing,Drawing,Communication,Problem Solving,Political Science,Physics,70.8,6,4,30,Solo,Reading,Electrical Engineer
Science,Design,Helping,Drawing,Communication,Observation,Mathematics,Economics,64.96,5,6,36,Outdoor,Visual,Electrical Engineer
Science,Design,Helping,Public Speaking,Leadership,Communication,Computer Science,Psychology,90.51,5,8,33,Solo,Reading,Electrical Engineer
Science,Design,Drawing,Drawing,Observation,Python,Physics,Chemistry,74.51,8,4,36,Solo,Hands-On,Electrical Engineer
Science,Design,Public Speaking,Designing,Python,Teamwork,Political Science,Computer Science,76.66,7,7,47,Outdoor,Listening,Electrical Engineer
Science,Design,Public Speaking,Designing,Leadership,Teamwork,Chemistry,Physics,68.62,5,5,32,Team,Listening,Electrical Engineer
Science,Design,Designing,Exploring,Teamwork,Empathy,Economics,Psychology,68.63,9,9,32,Team,Hands-On,Electrical Engineer
Science,Design,Writing,Writing,Problem Solving,Communication,Economics,Political Science,66.68,7,5,38,Solo,Hands-On,Electrical Engineer
Science,Design,Public Speaking,Exploring,Creativity,Leadership,History,Mathematics,77.03,3,10,43,Team,Visual,Electrical Engineer
Science,Design,Programming,Helping,Problem Solving,Problem Solving,Mathematics,Biology,68.87,6,7,36,Outdoor,Hands-On,Electrical Engineer
Science,Design,Public Speaking,Drawing,Teamwork,Teamwork,History,Computer Science,81.59,10,6,31,Structured,Visual,Electrical Engineer
Science,Design,Reading,Designing,Teamwork,Empathy,Mathematics,Psychology,61.21,5,6,43,Outdoor,Visual,Electrical Engineer
Science,Design,Programming,Helping,Teamwork,Teamwork,Computer Science,Political Science,69.82,7,6,40,Solo,Visual,Electrical Engineer
Science,Organize,Designing,Drawing,Leadership,Observation,Business Studies,Economics,100.0,5,6,40,Solo,Listening,Pharmacist
Science,Organize,Programming,Public Speaking,Observation,Leadership,Chemistry,Business Studies,81.82,10,8,33,Structured,Hands-On,Pharmacist
Science,Organize,Reading,Drawing,Creativity,Problem Solving,Economics,Economics,80.91,9,8,37,Outdoor,Reading,Pharmacist
Science,Organize,Public Speaking,Designing,Python,Python,Physics,Biology,85.67,9,9,38,Outdoor,Listening,Pharmacist
Science,Organize,Exploring,Drawing,Communication,Observation,Psychology,Economics,73.33,7,9,30,Team,Listening,Pharmacist
Science,Organize,Helping,Writing,Teamwork,Leadership,History,Physics,78.69,6,7,41,Outdoor,Hands-On,Pharmacist
Science,Organize,Reading,Designing,Leadership,Python,Psychology,History,76.91,7,4,38,Outdoor,Reading,Pharmacist
Science,Organize,Programming,Exploring,Communication,Problem Solving,Biology,Mathematics,81.45,10,6,36,Solo,Visual,Pharmacist
Science,Organize,Public Speaking,Programming,Teamwork,Observation,Business Studies,Biology,77.49,10,6,36,Structured,Reading,Pharmacist
Science,Organize,Designing,Exploring,Python,Communication,Political Science,Mathematics,81.08,7,6,35,Outdoor,Listening,Pharmacist
